review,taste,quantity,delivery,total
가격대비 괜찮은것 같아요,5,5,5,5
단골 됐습니다 짬뽕은 여깁니다 여러분,5,5,5,5
맛있게 잘 먹었습니다 ~~^^,5,5,5,5
감사합니다 잘먹었습니다',5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
기가맥힙니다 넘맛있고 서비스도 좋아여,5,5,5,5
잘 먹었습니다.,5,5,5,5
잘 먹었습니다.,5,5,5,5
맛있게 먹었습니다 냠냠,5,5,5,5
맛있습니다~~~~~,5,5,5,5
중식도 한식도 늘 맛있게 먹고 있습니다,5,5,5,5
자주 시켜먹는 집이고 맛있습니다,5,5,5,5
최고의 짜장밥입니다 강추드랴요,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
여기 맛있음 배달도 빠르고,5,5,5,5
배달 신속하고 맛나내요,4,5,5,4
너무 맛있게 먹었습니다.,5,5,5,5
"오늘은 짜장면 소스가 조금 덜 주셨는지 별로 없네요. 원래는 면에서 냄새가 안나는데, 오늘은 짜장면에서 조금 냄새가 났어요. 그래도 탕수육이라 짬뽕은 맛있었어요",5,5,5,5
항상 맛있어요 자주 시켜먹습니다,5,5,5,5
탕짜면만 먹다가 탕짬면도 먹어봣는데 맛있어용,5,5,5,5
단 한 그릇도 정성껏 보내주셔서 고마워요.,5,5,5,5
배부르게 잘먹엇어요!,5,5,5,5
예상시간보다 엄청 빠르게 와서... 좋을뻔 했는데.. 아무리 주말. 저녁시간대라지만 누고탕면에 면은 다 불어 젖가락질이 않되네요...,4,4,4,4
너무 맛있습니다 항상빨라용,5,5,5,5
맛있어요 배달도 매우빠르고 좋아요,5,5,5,5
짜장면은 항상 차이니스,5,5,5,5
처음 시켜봤어요. 탕수육이 남아서 나중에 먹었는데.. 식은후에 먹는데도 맛있네요,5,5,5,5
맨날 시켜 먹는 곳인데. 이번에는 먹을때 약간의 고기잡네가 났어여.. 그래도 다른 집보다는 좋아서 여기서 시켜 먹어요,3,4,5,4
배달도 엄청 빨라서 그런가 부어져왔는데도 탕수육이 바삭해서 꿀맛이였고 볶음밥도 꿀맛이였음,5,5,5,5
이동네 삼선볶음밥 원탑 재료 팍팍 들어가있고 양도 많아요,5,5,5,5
맛있게 잘먹었습니다,5,5,5,5
짜장은 기대보다 아쉬웠지만 잘먹었습니다,5,5,5,5
배달도빠르져 양이너무많져 서비스까지주시져 또시켜야져?,5,5,5,5
맛있게 잘먹었습니다!!,5,5,5,5
잘먹었습니다 수고하세요,5,5,5,5
최고의중국집 사랑입니다,5,5,5,5
짬뽕은 여기서만 !!,5,5,5,5
맛있어요~ 속풀이짬뽕 맛있어요~잘머겄습니다,5,5,5,5
맛있게 멋었습니다.,5,5,5,5
간짜장 예술이네요 ㅋㅋ 잘먹었오요,5,5,5,5
여긴 진짜 빠른 배달덕에 금방 먹을 수 있어서 좋아요! 맛도 있고 푸짐해서 중국집 베스트중 한곳입니다!,5,5,5,5
좋아요 맛있어요 궂굳,5,5,5,5
맛있게 잘 먹었습니다,5,5,5,5
엄정 맛있어용!! 앞으로 또 시켜먹겠어용.,5,5,5,5
짬뽕은 이 동네에서 이 집이 원탑입니다,5,5,5,5
탕수육이 완전 바삭하고 맛있어요 짜장면도 맛있어서 또 먹고 싶네요,5,5,5,5
탕수육 맛있어요~ 짬뽕.짜장도 좋구요.,5,5,5,5
짬뽕너모마싰어오 차돌은 비싸서 가끔먹는 ㅠㅠ,5,5,5,5
탕슉.겉바속촉 서비스 만두도 맛남 짬뽕 불맛 좋음 간짜장 신선하고 맛남,5,5,5,5
음식 잘 먹었습니다. 배달에 문제가 약간 있었지만 사장님이 친절하게 해결해 주셨어요. 다음에 또 주문하겠습니다 ㅎㅎ,5,5,5,5
배달이 빨랐고 맛있게 먹었어요!,5,5,5,5
오늘 탕수육 너무 맛있네요. 평소에 시킬때 탕수육 자체는 맛이 좋았지만 개인적인 취향으로 소스가 좀 쌔고 달았는데 오늘은 소스도 괜찮았고 탕수육 튀김 자체가 간도 너무 잘되고 바삭바삭 맛있었습니다. 같이시킨 오므라이스는 소스도 덜 부은듯 적고 맛도 보통이었지만 탕수육으로 다 커버되네요.,5,5,5,5
배달도 빠르고 탕수육이 바삭하고 맛있네요,5,5,5,5
사진은 미처 찍지 못해서 못올립니다 전에 배달해 먹던 음식은 정말 맛있었습니다 그런데 오늘 4월23일 배달해 온 짜장면은 면발이 너무 퍼져서 매우 실망했습니다 정말 맛없게 먹었습니다 이점 신경써 주시기 부탁 드립니다 감사합니다,2,5,5,4
돈까스 맛있네요~ 잘먹었습니다,5,5,5,5
오늘도 잘 먹었습니다만 양이 좀..,5,5,5,5
항상 맛잇게 잘 먹습니다,5,5,5,5
다 먹고나니 후기사진을 깜박했네요 ㅎㅎ,5,5,5,5
배달도 빠르고 양도 많아서 잘먹었어요 탕수육이 부드럽고 바싹하고 맛있어요,5,5,5,5
짬뽕 맛집ㅇㅈ 맛있어요,5,5,5,5
중식은 늘 요기요~~~! 맛있습니당,5,5,5,5
탕볶밥 처음 먹어봤는데 맛있어요.ᐟ 리뷰이벤트 한다고 적엇는데 사이다가 또 안와서 아쉽네유…..,4,4,4,4
양이 진짜 많아요! 짬뽕은 매콤한 편이고 탕수육은 바삭하고 맛있어요!!,4,5,4,4
앞으로는 여기서만 먹겠어요~!!^-^,5,5,5,5
짬뽕 좋았습니다. 쭈꾸미 맛있어요.,5,5,5,5
배달15분컷 맛있게 먹었습니다,5,5,5,5
진짜 탕수육 이렇게 만족하면서 먹은 적없는데.. 맛있게먹어ㅛ어요,5,5,5,5
마시쪼 ♥♥ 가성비가 이게 맞나..? wow 남자들의 소울푸드 같은 느낌이랄까..??,5,5,5,5
음식정말 맛있습니다.,5,5,5,5
배달도 빠르고 양도 많고 맛있게 잘 먹었습니다!,5,5,5,5
맛있게 먹었어요~~,5,5,5,5
잘먹었습니다.,5,5,5,5
